 MAVIR MKp - Adatok letõltése;
;
Létrehozás dátuma: 2019.06.04.;
Létrehozás idõpontja: 8:52;
Adatok letõltése az alábbi helyrõl:;EONEROMU;
;
Mérési pont ID + Mutatószám(ok);
1: HU000120B11-U-NAPE-SZIGVA-0400-32 // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) (DPID: 16691) // 2.29.99.128  TG15 A-;

Egyedi értékek;
Mérési idõszak (perc);15;;;;
Mennyiségi egység;kW;;;;
Dátum / idõ;1. Adatsor;Állapot;Hihetoség;
2018.07.05. 17:30;199,755;W;E (1);
2018.07.05. 17:45;172,516;W;E (1);
2018.07.05. 18:00;144,977;W;E (1);
2018.07.05. 18:15;117,638;W;E (1);
2018.07.05. 18:30;90,798;W;E (1);
2018.07.05. 18:45;65,753;W;E (1);
2018.07.05. 19:00;45,099;W;E (1);
2018.07.05. 19:15;29,235;W;E (1);
2018.07.05. 19:30;19,756;W;E (1);
2018.07.05. 19:45;13,769;W;E (1);
2018.07.05. 20:00;8,082;W;E (1);
2018.07.05. 20:15;3,492;W;E (1);
2018.07.05. 20:30;1,696;W;E (1);
2018.07.05. 20:45;0,199;W;E (1);
2018.07.05. 21:00;0,000;W;E (1);
2018.07.05. 21:15;0,000;W;E (1);
2018.07.05. 21:30;0,000;W;E (1);
2018.07.05. 21:45;0,000;W;E (1);
2018.07.05. 22:00;0,000;W;E (1);
2018.07.05. 22:15;0,000;W;E (1);
2018.07.05. 22:30;0,000;W;E (1);
2018.07.05. 22:45;0,000;W;E (1);
2018.07.05. 23:00;0,000;W;E (1);
2018.07.05. 23:15;0,000;W;E (1);
2018.07.05. 23:30;0,000;W;E (1);
2018.07.05. 23:45;0,000;W;E (1);
2018.07.06. 0:00;0,000;W;E (1);
2018.07.06. 0:15;0,000;W;E (1);
2018.07.06. 0:30;0,000;W;E (1);
2018.07.06. 0:45;0,000;W;E (1);
2018.07.06. 1:00;0,000;W;E (1);
2018.07.06. 1:15;0,000;W;E (1);
2018.07.06. 1:30;0,000;W;E (1);
2018.07.06. 1:45;0,000;W;E (1);
2018.07.06. 2:00;0,000;W;E (1);
2018.07.06. 2:15;0,000;W;E (1);
2018.07.06. 2:30;0,000;W;E (1);
2018.07.06. 2:45;0,000;W;E (1);
2018.07.06. 3:00;0,000;W;E (1);
2018.07.06. 3:15;0,000;W;E (1);
2018.07.06. 3:30;0,000;W;E (1);
2018.07.06. 3:45;0,000;W;E (1);
2018.07.06. 4:00;0,000;W;E (1);
2018.07.06. 4:15;0,000;W;E (1);
2018.07.06. 4:30;0,000;W;E (1);
2018.07.06. 4:45;0,000;W;E (1);
2018.07.06. 5:00;0,000;W;E (1);
2018.07.06. 5:15;0,000;W;E (1);
2018.07.06. 5:30;0,299;W;E (1);
2018.07.06. 5:45;3,392;W;E (1);
2018.07.06. 6:00;8,082;W;E (1);
2018.07.06. 6:15;10,377;W;E (1);
2018.07.06. 6:30;13,769;W;E (1);
2018.07.06. 6:45;23,248;W;E (1);
2018.07.06. 7:00;57,073;W;E (1);
2018.07.06. 7:15;83,015;W;E (1);
2018.07.06. 7:30;70,044;W;E (1);
2018.07.06. 7:45;90,199;W;E (1);
2018.07.06. 8:00;114,445;W;E (1);
2018.07.06. 8:15;142,582;W;E (1);
2018.07.06. 8:30;192,471;W;E (1);
2018.07.06. 8:45;161,141;W;E (1);
2018.07.06. 9:00;109,855;W;E (1);
2018.07.06. 9:15;109,656;W;E (1);
2018.07.06. 9:30;186,684;W;E (1);
2018.07.06. 9:45;46,297;W;E (1);
2018.07.06. 10:00;59,268;W;E (1);
2018.07.06. 10:15;53,481;W;E (1);
2018.07.06. 10:30;85,908;W;E (1);
2018.07.06. 10:45;95,886;W;E (1);
2018.07.06. 11:00;82,217;W;E (1);
2018.07.06. 11:15;104,866;W;E (1);
2018.07.06. 11:30;153,258;W;E (1);
